id,author_id,text,topic
85bf2306-4c47-4167-bc74-99ba3ca011ea,1425081739563634692,presidential staff historian trumps elevation hyperloyalist tony ornato secret service,trump
3aeb86dd-a3cf-4d98-a47e-3559754192c8,1497454239559282690,donald trump supporters threatening violence streets trump gets indicted yet,trump
ee6b63e9-0363-48f1-8208-5e9b6591815f,1010118685,name eric lynn democratic nominee one competitive races america served senior,trump
ac42f29f-e17c-45fe-a709-a753a8d997a2,1242511664,days ago insurrectionists ransacked capitol hours later house republicans voted finish,trump
b8c83d4c-f9f2-4cab-8f90-05e3a967bc9b,969126109,trump added trillion national debt biden already paid trillion,trump
4f3056ad-15e2-42f4-8226-74bf4f5d10c8,1070069009733668865,secret service find totally innocuous texts day donald attempted coup got,trump
5f631ba9-5a27-4fd8-baa9-6542898239a8,16368708,trump treated secret service like private army,trump
49acd700-b5db-4fef-b705-e26e7467fb56,1325513156630880257,donations democrats going suppo trump endorsed candidates primaries especially winning primaries seem sma,trump
53853793-ff43-4111-910e-0b1207f64241,4477563313,home depot gives money trump gop shop street lowes,trump
2c728cc2-05ca-44a4-aee0-403e18287230,479225497,home depot gives money trump gop shop street lowes,trump
4eda3bab-08f7-4322-b9d8-dc31c0fe600e,997863729692905472,trump pressured top wisconsin republican decertify results threatened last week,trump
e8a7c517-b1b7-4a12-8254-cd0bceada382,1328152648613294085,yeah silly called wisconsin literally day ago flip electionand continues extortion mafioso crime boss intimidation crap,trump
bcfb6d08-fdaf-4e0f-8446-26b1e1ed8be2,1433102649038094351,shes right biden humiliated since day one,trump
1f4f3ebb-1f23-4fd9-a572-8e8e3a73c37a,1351625815549730819,butler county one three suburban collar counties cincinnati dems perform best oxford,trump
ccfd11b2-2a94-4cf8-ae84-ee394c4e39ea,360120378,unabashed trump supporters,trump
c6236afb-b121-479c-b6fd-6e618a97e7e0,5468322,result sudden death ivana trump ivankas testimony delayed kind delay,trump
649c2a66-3f1d-4d27-aced-1d6a2f30f3b5,1206400717,ill wrap noting oversight executive legislative matter,trump
44b7302a-d6df-437b-809f-b2c4c4aa41f8,1490023276583677952,corrupt gqp trump party amp corrupt scotus also corrupt usss clean house country got pull heads ass amp voteblueorwearescrewed value democracy amp want save,trump
3a79fbd1-fa8a-476d-b071-3948eed4f6f7,1355365386707939332,actually research election take protrump position every time like obedient little cultist,trump
69867f94-7a14-43c6-93ff-7cf94da44725,1133178843299233797,really stupid people like understand wipe asses,trump
df1b7674-1327-47f8-b22d-852a95ef4648,500143811,dga construed supporting candidate pa message cynical irresponsible highly unpatriotic,trump
2520807b-615e-482b-a818-6b47991d8462,2999230816,lies,trump
d96fb261-9e6b-475a-a720-50901d688fdf,48420486,new documents released house oversight committee show trump administrations push citizenship question,trump
1cffab13-00db-4a22-a42a-513e00127a22,1088163738950295553,still believe secret service agent took political job trump admin dime simply rotated,trump
